"","Subject","Simulation","Artefact","PSNR"
"233","590",8,"Nonlinearities",33.9849188773648
"234","590",8,"NoiseAndNonlinearities",18.5093404556321
"235","590",9,"Noise",46.368966144019
"236","590",9,"Nonlinearities",33.5795507931376
"237","590",9,"NoiseAndNonlinearities",16.6720326603669
"238","590",10,"Noise",30.4310418766868
"239","590",10,"Nonlinearities",37.9311899546837
"240","590",10,"NoiseAndNonlinearities",26.9576001213685
"241","591",1,"Noise",21.2292124234864
"242","591",1,"Nonlinearities",33.6648446681681
"243","591",1,"NoiseAndNonlinearities",15.0424558815211
"244","591",2,"Noise",25.3205305324904
"245","591",2,"Nonlinearities",31.3755577350876
"246","591",2,"NoiseAndNonlinearities",28.1267610782149
"247","591",3,"Noise",18.6927442346233
"248","591",3,"Nonlinearities",28.1773351645685
"249","591",3,"NoiseAndNonlinearities",23.8820086741968
"250","591",4,"Noise",15.6497886053312
"251","591",4,"Nonlinearities",34.9231798289966
"252","591",4,"NoiseAndNonlinearities",24.0045362614281
"253","591",5,"Noise",21.5208221063648
"254","591",5,"Nonlinearities",30.7488035782759
"255","591",5,"NoiseAndNonlinearities",22.8707654233973
"256","591",6,"Noise",21.1394098985392
"257","591",6,"Nonlinearities",34.3201056693525
"258","591",6,"NoiseAndNonlinearities",26.2981142019798
"259","591",7,"Noise",17.0256089524335
"260","591",7,"Nonlinearities",33.0767067045556
"261","591",7,"NoiseAndNonlinearities",25.9323489236846
"262","591",8,"Noise",18.9564047004451
"263","591",8,"Nonlinearities",24.9590343680556
"264","591",8,"NoiseAndNonlinearities",26.5191093353365
"265","591",9,"Noise",17.0869935593357
"266","591",9,"Nonlinearities",29.2520402448046
"267","591",9,"NoiseAndNonlinearities",16.3767436224451
"268","591",10,"Noise",17.1250530518066
"269","591",10,"Nonlinearities",35.4344820998042
"270","591",10,"NoiseAndNonlinearities",16.2620124928627
"271","592",1,"Noise",21.6542345684966
"272","592",1,"Nonlinearities",31.7058323932895
"273","592",1,"NoiseAndNonlinearities",22.8808444808591
"274","592",2,"Noise",46.0874651332869
"275","592",2,"Nonlinearities",33.4715573219529
"276","592",2,"NoiseAndNonlinearities",22.419901456187
"277","592",3,"Noise",16.6505651997413
"278","592",3,"Nonlinearities",38.4859000969928
"279","592",3,"NoiseAndNonlinearities",16.4016797624634
"280","592",4,"Noise",51.1550354837165
"281","592",4,"Nonlinearities",36.516838971588
"282","592",4,"NoiseAndNonlinearities",16.8102488915623
"283","592",5,"Noise",15.850992038261
"284","592",5,"Nonlinearities",27.5704979414651
"285","592",5,"NoiseAndNonlinearities",16.5027117321266
"286","592",6,"Noise",25.525389462621
"287","592",6,"Nonlinearities",28.0982182902856
"288","592",6,"NoiseAndNonlinearities",17.5138682450721
"289","592",7,"Noise",15.7315489917168
"290","592",7,"Nonlinearities",32.8086099228749
"291","592",7,"NoiseAndNonlinearities",20.6806287820584
"292","592",8,"Noise",26.2175733489622
"293","592",8,"Nonlinearities",29.0596624095961
"294","592",8,"NoiseAndNonlinearities",23.4468132101965
"295","592",9,"Noise",18.977467482351
"296","592",9,"Nonlinearities",25.8747101341806
"297","592",9,"NoiseAndNonlinearities",26.73795499068
"298","592",10,"Noise",18.7276520948574
"299","592",10,"Nonlinearities",20.2708867877731
"300","592",10,"NoiseAndNonlinearities",15.7832029801424
"301","601",1,"Noise",28.1475962391649
"302","601",1,"Nonlinearities",32.2586171582667
"303","601",1,"NoiseAndNonlinearities",17.7636686065263
"304","601",2,"Noise",20.018291515116
"305","601",2,"Nonlinearities",26.3982757871351
"306","601",2,"NoiseAndNonlinearities",25.74361547185
"307","601",3,"Noise",20.66296443291
"308","601",3,"Nonlinearities",34.7960039171245
"309","601",3,"NoiseAndNonlinearities",15.9630305314681
"310","601",4,"Noise",17.065888796374
"311","601",4,"Nonlinearities",25.8543269644918
"312","601",4,"NoiseAndNonlinearities",19.6559142522301
"313","601",5,"Noise",21.5047993172893
"314","601",5,"Nonlinearities",26.1160280771918
"315","601",5,"NoiseAndNonlinearities",22.5593835074279
"316","601",6,"Noise",23.5666600486778
"317","601",6,"Nonlinearities",36.0568116864388
"318","601",6,"NoiseAndNonlinearities",16.1720383702546
"319","601",7,"Noise",27.2725297952511
"320","601",7,"Nonlinearities",40.2200406235176
"321","601",7,"NoiseAndNonlinearities",16.0577789546678
"322","601",8,"Noise",18.8097162919995
"323","601",8,"Nonlinearities",30.9201239057596
"324","601",8,"NoiseAndNonlinearities",32.0644381252856
"325","601",9,"Noise",27.4905011884232
"326","601",9,"Nonlinearities",27.0428728705284
"327","601",9,"NoiseAndNonlinearities",24.0404720207359
"328","601",10,"Noise",15.4058563987168
"329","601",10,"Nonlinearities",28.6730962131003
"330","601",10,"NoiseAndNonlinearities",21.9649265472989
"331","606",1,"Noise",17.5124343547043
"332","606",1,"Nonlinearities",37.5771935930524
"333","606",1,"NoiseAndNonlinearities",18.2524221778824
"334","606",2,"Noise",19.34547496916
"335","606",2,"Nonlinearities",21.9743474735787
"336","606",2,"NoiseAndNonlinearities",24.729636791594
"337","606",3,"Noise",17.6421071911647
"338","606",3,"Nonlinearities",26.2332815242662
"339","606",3,"NoiseAndNonlinearities",19.8083318733048
"340","606",4,"Noise",16.1927234173115
"341","606",4,"Nonlinearities",28.1489670888193
"342","606",4,"NoiseAndNonlinearities",18.2149718403083
"343","606",5,"Noise",18.186756873073
"344","606",5,"Nonlinearities",28.8164422662173
"345","606",5,"NoiseAndNonlinearities",15.1144079996891
"346","606",6,"Noise",31.8495198278896
"347","606",6,"Nonlinearities",23.4562110498974
"348","606",6,"NoiseAndNonlinearities",20.1905832136377
"349","606",7,"Noise",20.7068520454254
"350","606",7,"Nonlinearities",27.329597221821
"351","606",7,"NoiseAndNonlinearities",15.9206836053908
"352","606",8,"Noise",20.1565932485017
"353","606",8,"Nonlinearities",30.8691404368173
"354","606",8,"NoiseAndNonlinearities",15.1938881685348
"355","606",9,"Noise",41.6095993448985
"356","606",9,"Nonlinearities",29.8651067402771
"357","606",9,"NoiseAndNonlinearities",16.3904173639146
"358","606",10,"Noise",16.9573406480541
"359","606",10,"Nonlinearities",27.6594130575723
"360","606",10,"NoiseAndNonlinearities",18.0577561508404
"361","633",1,"Noise",16.1120560932328
"362","633",1,"Nonlinearities",29.0014971376622
"363","633",1,"NoiseAndNonlinearities",12.1735341871419
"364","633",2,"Noise",32.8958053455768
"365","633",2,"Nonlinearities",46.863486396345
"366","633",2,"NoiseAndNonlinearities",15.9461956220294
"367","633",3,"Noise",15.5072933587788
"368","633",3,"Nonlinearities",31.1143266595074
"369","633",3,"NoiseAndNonlinearities",17.5028352182791
"370","633",4,"Noise",26.9705184847475
"371","633",4,"Nonlinearities",28.287631392276
"372","633",4,"NoiseAndNonlinearities",26.5752697410481
"373","633",5,"Noise",25.4888395330451
"374","633",5,"Nonlinearities",28.8248534941698
"375","633",5,"NoiseAndNonlinearities",19.4650178090262
"376","633",6,"Noise",38.5773906805104
"377","633",6,"Nonlinearities",29.9225899550853
"378","633",6,"NoiseAndNonlinearities",25.1562133776156
"379","633",7,"Noise",41.6204298985925
"380","633",7,"Nonlinearities",38.4714340275391
"381","633",7,"NoiseAndNonlinearities",23.393310379079
"382","633",8,"Noise",31.2071884357496
"383","633",8,"Nonlinearities",22.5631965703188
"384","633",8,"NoiseAndNonlinearities",32.1246004360336
"385","633",9,"Noise",39.5029062384192
"386","633",9,"Nonlinearities",41.6258639488859
"387","633",9,"NoiseAndNonlinearities",24.1195708485444
"388","633",10,"Noise",15.0479196933162
"389","633",10,"Nonlinearities",29.0094406802193
"390","633",10,"NoiseAndNonlinearities",20.8647867328122
"391","644",1,"Noise",21.967939988828
