Segmentation,Cluster,Sensitivity
ElBicho,Cluster3,0.893239626625019
LinearBinning,Cluster0,0.999999999999942
LinearBinning,Cluster1,0.999999999997985
LinearBinning,Cluster2,0.482984323950729
LinearBinning,Cluster3,0.635211519778581
KMeans,Cluster0,0.999999999999942
KMeans,Cluster1,0.426603542051647
KMeans,Cluster2,0.372326674006829
KMeans,Cluster3,0.999999999997695
Atropos,Cluster0,0.999999999999942
Atropos,Cluster1,0.916745084000623
Atropos,Cluster2,0.555639004356563
Atropos,Cluster3,0.999999999985997
ElBicho,Cluster0,0.999999999999942
ElBicho,Cluster1,0.726078502394212
ElBicho,Cluster2,0.794516324528266
ElBicho,Cluster3,0.712146604303752
LinearBinning,Cluster0,0.999999999999943
LinearBinning,Cluster1,0.743847183000682
LinearBinning,Cluster2,0.760628736174392
LinearBinning,Cluster3,0.998274524426826
KMeans,Cluster0,0.999999999999943
KMeans,Cluster1,0.154642992921945
KMeans,Cluster2,0.101970778797553
KMeans,Cluster3,0.999999999998694
Atropos,Cluster0,0.999999999999943
Atropos,Cluster1,0.999999999844697
Atropos,Cluster2,0.710545016734559
Atropos,Cluster3,0.989358038829815
ElBicho,Cluster0,0.999994134868385
ElBicho,Cluster1,0.38887088346154
ElBicho,Cluster2,0.850229763379396
ElBicho,Cluster3,0.909044597952777
LinearBinning,Cluster0,0.999999999999941
LinearBinning,Cluster1,0.9475588679203
LinearBinning,Cluster2,0.792467516674239
LinearBinning,Cluster3,0.923826499718041
KMeans,Cluster0,0.999999999999941
KMeans,Cluster1,0.276828597902764
KMeans,Cluster2,0.143680740398559
KMeans,Cluster3,0.999999999998874
Atropos,Cluster0,0.999999999999941
Atropos,Cluster1,0.995916217896226
Atropos,Cluster2,0.595467440565181
Atropos,Cluster3,0.999999999998452
ElBicho,Cluster0,0.999999999999941
ElBicho,Cluster1,0.607554463940826
ElBicho,Cluster2,0.920842550406593
ElBicho,Cluster3,0.8325921292461
LinearBinning,Cluster0,0.999999999999942
LinearBinning,Cluster1,0.999723435500925
LinearBinning,Cluster2,0.747408883626172
LinearBinning,Cluster3,0.805688827990071
KMeans,Cluster0,0.999999999999942
KMeans,Cluster1,0.377591926177843
KMeans,Cluster2,0.212019501303538
KMeans,Cluster3,0.999999999998278
Atropos,Cluster0,0.999999999999942
