"","Subject","Simulation","Artefact","PSNR"
"161","21012_XeVent_Noise_1.nii.gz",4,"Nonlinearities",21.4114496812754
"162","21012_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",19.7009584145844
"163","21012_XeVent_Noise_1.nii.gz",5,"Noise",47.2104489470903
"164","21012_XeVent_Noise_1.nii.gz",5,"Nonlinearities",19.6595793467105
"165","21012_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",16.879691308903
"166","21012_XeVent_Noise_1.nii.gz",6,"Noise",21.913281144551
"167","21012_XeVent_Noise_1.nii.gz",6,"Nonlinearities",23.9090844874439
"168","21012_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",16.2800222311434
"169","21012_XeVent_Noise_1.nii.gz",7,"Noise",24.9186956797611
"170","21012_XeVent_Noise_1.nii.gz",7,"Nonlinearities",19.0504853811342
"171","21012_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",17.6925753451132
"172","21012_XeVent_Noise_1.nii.gz",8,"Noise",24.9111532634959
"173","21012_XeVent_Noise_1.nii.gz",8,"Nonlinearities",20.2472408781435
"174","21012_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",18.8949408484202
"175","21012_XeVent_Noise_1.nii.gz",9,"Noise",30.6791429077753
"176","21012_XeVent_Noise_1.nii.gz",9,"Nonlinearities",22.7471657596158
"177","21012_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",21.3735493773156
"178","21012_XeVent_Noise_1.nii.gz",10,"Noise",23.2746955299438
"179","21012_XeVent_Noise_1.nii.gz",10,"Nonlinearities",20.3956355980984
"180","21012_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",22.1881179669637
"181","21014_XeVent_Noise_1.nii.gz",1,"Noise",17.5119202905006
"182","21014_XeVent_Noise_1.nii.gz",1,"Nonlinearities",30.8008424386756
"183","21014_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",21.6854873683005
"184","21014_XeVent_Noise_1.nii.gz",2,"Noise",20.2878762705012
"185","21014_XeVent_Noise_1.nii.gz",2,"Nonlinearities",25.0909161730787
"186","21014_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",19.5828369573619
"187","21014_XeVent_Noise_1.nii.gz",3,"Noise",27.654080610156
"188","21014_XeVent_Noise_1.nii.gz",3,"Nonlinearities",25.6910788230972
"189","21014_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",16.6146796217017
"190","21014_XeVent_Noise_1.nii.gz",4,"Noise",17.5591036579126
"191","21014_XeVent_Noise_1.nii.gz",4,"Nonlinearities",24.5672257552654
"192","21014_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",21.247360145643
"193","21014_XeVent_Noise_1.nii.gz",5,"Noise",21.4072140223609
"194","21014_XeVent_Noise_1.nii.gz",5,"Nonlinearities",28.4995292549157
"195","21014_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",21.1322089066893
"196","21014_XeVent_Noise_1.nii.gz",6,"Noise",20.2787957097879
"197","21014_XeVent_Noise_1.nii.gz",6,"Nonlinearities",22.3819404280351
"198","21014_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",17.1062603387201
"199","21014_XeVent_Noise_1.nii.gz",7,"Noise",15.4204162146355
"200","21014_XeVent_Noise_1.nii.gz",7,"Nonlinearities",24.4862700924583
"201","21014_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",21.0636325663594
"202","21014_XeVent_Noise_1.nii.gz",8,"Noise",16.5044868205065
"203","21014_XeVent_Noise_1.nii.gz",8,"Nonlinearities",25.5030957244415
"204","21014_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",17.6754713027965
"205","21014_XeVent_Noise_1.nii.gz",9,"Noise",20.932280486808
"206","21014_XeVent_Noise_1.nii.gz",9,"Nonlinearities",25.2145819532929
"207","21014_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",17.599048078179
"208","21014_XeVent_Noise_1.nii.gz",10,"Noise",22.6967688723374
"209","21014_XeVent_Noise_1.nii.gz",10,"Nonlinearities",25.0554397708818
"210","21014_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",16.2643702465797
"211","21016_XeVent_Noise_1.nii.gz",1,"Noise",17.2768147797114
"212","21016_XeVent_Noise_1.nii.gz",1,"Nonlinearities",32.6710879003625
"213","21016_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",34.4493003369072
"214","21016_XeVent_Noise_1.nii.gz",2,"Noise",22.0949605810518
"215","21016_XeVent_Noise_1.nii.gz",2,"Nonlinearities",17.0068473761669
"216","21016_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",17.5909224331109
"217","21016_XeVent_Noise_1.nii.gz",3,"Noise",29.0510695833975
"218","21016_XeVent_Noise_1.nii.gz",3,"Nonlinearities",21.6500813225395
"219","21016_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",23.5425370284926
"220","21016_XeVent_Noise_1.nii.gz",4,"Noise",25.1699154213326
"221","21016_XeVent_Noise_1.nii.gz",4,"Nonlinearities",25.4207968500259
"222","21016_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",16.684812643603
"223","21016_XeVent_Noise_1.nii.gz",5,"Noise",21.5130020868674
"224","21016_XeVent_Noise_1.nii.gz",5,"Nonlinearities",27.730151618508
"225","21016_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",19.6781072768917
"226","21016_XeVent_Noise_1.nii.gz",6,"Noise",25.848815387646
"227","21016_XeVent_Noise_1.nii.gz",6,"Nonlinearities",29.4585126805951
"228","21016_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",23.3158663210487
"229","21016_XeVent_Noise_1.nii.gz",7,"Noise",17.5863288831397
"230","21016_XeVent_Noise_1.nii.gz",7,"Nonlinearities",24.6240888546673
"231","21016_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",23.3523046796895
"232","21016_XeVent_Noise_1.nii.gz",8,"Noise",22.3353861749558
"233","21016_XeVent_Noise_1.nii.gz",8,"Nonlinearities",25.7863568000602
"234","21016_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",23.2940058855408
"235","21016_XeVent_Noise_1.nii.gz",9,"Noise",22.4287552311504
"236","21016_XeVent_Noise_1.nii.gz",9,"Nonlinearities",21.3361556266381
"237","21016_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",16.6820390426304
"238","21016_XeVent_Noise_1.nii.gz",10,"Noise",21.6901654615441
"239","21016_XeVent_Noise_1.nii.gz",10,"Nonlinearities",39.7395758412298
"240","21016_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",19.5102066081718
"241","21018_XeVent_Noise_1.nii.gz",1,"Noise",34.6540164591454
"242","21018_XeVent_Noise_1.nii.gz",1,"Nonlinearities",27.7897661659656
"243","21018_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",21.9183786026024
"244","21018_XeVent_Noise_1.nii.gz",2,"Noise",16.1630806785143
"245","21018_XeVent_Noise_1.nii.gz",2,"Nonlinearities",30.8586021081007
"246","21018_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",19.7599940762197
"247","21018_XeVent_Noise_1.nii.gz",3,"Noise",15.4357360478639
"248","21018_XeVent_Noise_1.nii.gz",3,"Nonlinearities",20.0646853982347
"249","21018_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",16.4159141298181
"250","21018_XeVent_Noise_1.nii.gz",4,"Noise",15.8556867893579
"251","21018_XeVent_Noise_1.nii.gz",4,"Nonlinearities",23.6823641794558
"252","21018_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",21.3512070289761
"253","21018_XeVent_Noise_1.nii.gz",5,"Noise",15.8415251948662
"254","21018_XeVent_Noise_1.nii.gz",5,"Nonlinearities",21.7571112986448
"255","21018_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",23.0223574191051
"256","21018_XeVent_Noise_1.nii.gz",6,"Noise",16.3315639935882
"257","21018_XeVent_Noise_1.nii.gz",6,"Nonlinearities",23.7779841049948
"258","21018_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",20.9764818387045
"259","21018_XeVent_Noise_1.nii.gz",7,"Noise",21.5093930660406
"260","21018_XeVent_Noise_1.nii.gz",7,"Nonlinearities",25.8224608840435
"261","21018_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",17.5484460298728
"262","21018_XeVent_Noise_1.nii.gz",8,"Noise",15.3335971622039
"263","21018_XeVent_Noise_1.nii.gz",8,"Nonlinearities",37.9273246364754
"264","21018_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",21.7875275559175
"265","21018_XeVent_Noise_1.nii.gz",9,"Noise",16.9584023431518
"266","21018_XeVent_Noise_1.nii.gz",9,"Nonlinearities",27.1631806709642
"267","21018_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",19.5265368602772
"268","21018_XeVent_Noise_1.nii.gz",10,"Noise",21.7041858223299
"269","21018_XeVent_Noise_1.nii.gz",10,"Nonlinearities",31.736191266376
"270","21018_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",14.4567349615974
"271","2102_XeVent_Noise_1.nii.gz",1,"Noise",22.2286897471989
"272","2102_XeVent_Noise_1.nii.gz",1,"Nonlinearities",23.3315858286824
"273","2102_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",19.7779849942088
"274","2102_XeVent_Noise_1.nii.gz",2,"Noise",37.2727729654318
"275","2102_XeVent_Noise_1.nii.gz",2,"Nonlinearities",25.0737126059156
"276","2102_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",18.6929099447641
"277","2102_XeVent_Noise_1.nii.gz",3,"Noise",18.090446807769
"278","2102_XeVent_Noise_1.nii.gz",3,"Nonlinearities",23.857720391321
"279","2102_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",21.8520264045009
"280","2102_XeVent_Noise_1.nii.gz",4,"Noise",29.7939873622692
"281","2102_XeVent_Noise_1.nii.gz",4,"Nonlinearities",23.2736771850217
"282","2102_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",15.7670377473441
"283","2102_XeVent_Noise_1.nii.gz",5,"Noise",15.5901254819817
"284","2102_XeVent_Noise_1.nii.gz",5,"Nonlinearities",25.634685887492
"285","2102_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",17.9957575508552
"286","2102_XeVent_Noise_1.nii.gz",6,"Noise",26.2621908877698
"287","2102_XeVent_Noise_1.nii.gz",6,"Nonlinearities",28.433057217958
"288","2102_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",21.7600349343981
"289","2102_XeVent_Noise_1.nii.gz",7,"Noise",41.6367841996051
"290","2102_XeVent_Noise_1.nii.gz",7,"Nonlinearities",27.9886836272034
"291","2102_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",16.2403365406627
"292","2102_XeVent_Noise_1.nii.gz",8,"Noise",18.8027830813756
"293","2102_XeVent_Noise_1.nii.gz",8,"Nonlinearities",22.4919448915996
"294","2102_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",27.352854582549
"295","2102_XeVent_Noise_1.nii.gz",9,"Noise",15.6885494421321
"296","2102_XeVent_Noise_1.nii.gz",9,"Nonlinearities",22.3355784729666
"297","2102_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",15.4819868954944
"298","2102_XeVent_Noise_1.nii.gz",10,"Noise",22.1392272647503
"299","2102_XeVent_Noise_1.nii.gz",10,"Nonlinearities",25.8754338913065
"300","2102_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",27.5629427626112
"301","2103_XeVent_Noise_1.nii.gz",1,"Noise",29.1780047897223
"302","2103_XeVent_Noise_1.nii.gz",1,"Nonlinearities",28.0756165873521
"303","2103_XeVent_Noise_1.nii.gz",1,"NoiseAndNonlinearities",22.5636131499611
"304","2103_XeVent_Noise_1.nii.gz",2,"Noise",18.5462047476258
"305","2103_XeVent_Noise_1.nii.gz",2,"Nonlinearities",24.1390832431981
"306","2103_XeVent_Noise_1.nii.gz",2,"NoiseAndNonlinearities",21.6434903603426
"307","2103_XeVent_Noise_1.nii.gz",3,"Noise",17.924302219709
"308","2103_XeVent_Noise_1.nii.gz",3,"Nonlinearities",28.1125901158185
"309","2103_XeVent_Noise_1.nii.gz",3,"NoiseAndNonlinearities",20.0164110763203
"310","2103_XeVent_Noise_1.nii.gz",4,"Noise",46.5614093429141
"311","2103_XeVent_Noise_1.nii.gz",4,"Nonlinearities",25.3105760836017
"312","2103_XeVent_Noise_1.nii.gz",4,"NoiseAndNonlinearities",15.51247182667
"313","2103_XeVent_Noise_1.nii.gz",5,"Noise",23.0489367856872
